--------- dfsSearch.txt ---------
[[9, 8, 7], [6, 5, 4], [3, 2, 1]]
[[9, 8, 7], [6, 5, 4], [3, 1, 2]]
[[9, 8, 7], [6, 5, 4], [1, 3, 2]]
[[9, 8, 7], [6, 5, 4], [1, 2, 3]]
[[9, 8, 7], [6, 5, 3], [1, 2, 4]]
[[9, 8, 3], [6, 5, 7], [1, 2, 4]]
[[9, 8, 3], [6, 5, 4], [1, 2, 7]]
[[9, 8, 3], [6, 5, 4], [1, 7, 2]]
[[9, 8, 3], [6, 5, 4], [7, 1, 2]]
[[9, 8, 3], [6, 5, 4], [7, 2, 1]]
[[9, 8, 3], [6, 5, 1], [7, 2, 4]]
[[9, 8, 3], [6, 5, 1], [7, 4, 2]]
[[9, 8, 3], [6, 5, 1], [4, 7, 2]]
[[9, 8, 3], [6, 5, 1], [4, 2, 7]]
[[9, 8, 3], [6, 1, 5], [4, 2, 7]]
[[9, 8, 3], [1, 6, 5], [4, 2, 7]]
[[9, 8, 3], [1, 5, 6], [4, 2, 7]]
[[1, 8, 3], [9, 5, 6], [4, 2, 7]]
[[1, 8, 3], [4, 5, 6], [9, 2, 7]]
[[1, 8, 3], [4, 5, 6], [9, 7, 2]]
[[1, 8, 3], [4, 5, 6], [7, 9, 2]]
[[1, 8, 3], [4, 5, 6], [7, 2, 9]]
[[1, 8, 3], [4, 2, 6], [7, 5, 9]]
[[1, 2, 3], [4, 8, 6], [7, 5, 9]]
[[1, 2, 3], [4, 5, 6], [7, 8, 9]]
